iter	Passed	Remaining
0	0	27
1	0	29
2	0	28
3	1	26
4	1	26
5	1	27
6	2	27
7	2	27
8	2	26
9	2	26
10	3	25
11	3	26
12	3	25
13	4	25
14	4	26
15	4	25
16	5	24
17	5	24
18	5	23
19	5	23
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	17
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	11
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	18	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	7
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
