iter	Passed	Remaining
0	57	57526
1	58	28988
2	58	19471
3	58	14681
4	59	11793
5	59	9881
6	60	8527
7	60	7497
8	60	6711
9	61	6070
10	61	5557
11	62	5114
12	62	4738
13	62	4415
14	63	4137
15	63	3896
16	63	3682
17	63	3489
18	64	3316
19	64	3162
20	64	3024
21	65	2897
22	65	2786
23	65	2679
24	66	2582
25	66	2496
26	66	2411
27	67	2333
28	67	2261
29	67	2196
30	68	2134
31	68	2075
32	68	2019
33	69	1968
34	69	1918
35	69	1870
36	70	1826
37	70	1784
38	70	1746
39	71	1708
40	71	1673
41	71	1637
42	72	1606
43	72	1577
44	72	1547
45	73	1518
46	73	1494
47	74	1470
48	74	1445
49	74	1422
50	75	1399
51	75	1378
52	76	1359
53	76	1337
54	76	1316
55	76	1297
56	77	1278
57	77	1259
58	77	1241
59	78	1224
60	78	1208
61	78	1191
62	79	1176
63	79	1161
64	79	1148
65	80	1134
66	80	1122
67	80	1108
68	81	1095
69	81	1083
70	81	1072
71	82	1060
72	82	1049
73	82	1037
74	83	1026
75	83	1016
76	83	1006
77	84	996
78	84	987
79	84	976
80	85	967
81	85	958
82	85	946
83	86	938
84	86	929
85	86	921
86	87	913
87	87	905
88	87	897
89	87	889
90	88	881
91	88	875
92	89	868
93	89	861
94	89	854
95	90	848
96	90	841
97	90	835
98	91	829
99	91	823
100	91	817
101	92	810
102	92	804
103	92	799
104	93	795
105	93	789
106	93	783
107	94	777
108	94	772
109	94	767
110	95	762
111	95	757
112	95	752
113	96	747
114	96	742
115	96	737
116	96	731
117	97	727
118	97	722
119	97	718
120	98	714
121	98	708
122	98	704
123	99	700
124	99	697
125	99	692
126	100	688
127	100	685
128	101	682
129	101	678
130	101	674
131	101	670
132	102	666
133	102	662
134	102	659
135	103	656
136	103	652
137	103	648
138	104	645
139	104	641
140	104	638
141	105	635
142	105	631
143	105	628
144	106	625
145	106	621
146	106	619
147	107	616
148	107	614
149	107	611
150	108	609
151	108	607
152	109	604
153	109	602
154	109	599
155	110	596
156	110	594
157	110	591
158	111	588
159	111	585
160	111	582
161	111	579
162	112	576
163	112	574
164	112	571
165	113	568
166	113	566
167	113	563
168	114	560
169	114	558
170	114	555
171	114	553
172	115	551
173	115	548
174	115	546
175	116	544
176	116	541
177	116	539
178	117	537
179	117	535
180	117	532
181	118	530
182	118	528
183	118	526
184	119	524
185	119	522
186	119	521
187	120	519
188	120	517
189	120	515
190	121	513
191	121	511
192	121	509
193	122	507
194	122	505
195	122	504
196	123	502
197	123	500
198	123	499
199	124	497
200	124	495
201	124	493
202	125	491
203	125	489
204	125	488
205	126	486
206	126	484
207	126	482
208	127	481
209	127	479
210	127	477
211	127	475
212	128	474
213	128	472
214	129	471
215	129	469
216	129	468
217	130	466
218	130	465
219	130	464
220	131	462
221	131	462
222	132	460
223	132	459
224	132	457
225	133	456
226	133	454
227	133	453
228	134	452
229	134	450
230	134	449
231	135	447
232	135	446
233	135	444
234	136	443
235	136	441
236	136	440
237	137	438
238	137	437
239	137	436
240	138	435
241	138	434
242	139	433
243	139	431
244	139	430
245	140	429
246	140	428
247	140	426
248	141	426
249	141	424
250	141	423
251	142	421
252	142	420
253	142	419
254	143	417
255	143	416
256	143	415
257	144	414
258	144	413
259	144	411
260	145	410
261	145	410
262	146	409
263	146	408
264	146	407
265	147	406
266	147	404
267	147	403
